page,text,p,start,end,type,description
047,"Monday, January 23, 1922",1,0,24,DATE,Absolute or relative dates or periods
047,Nile,2,0,4,PERSON,"People, including fictional"
047,8,4,8,9,CARDINAL,Numerals that do not fall under another type
047,Italian,4,49,56,NORP,Nationalities or religious or political groups
047,Romanesque,4,62,72,NORP,Nationalities or religious or political groups
047,Gothic,4,74,80,NORP,Nationalities or religious or political groups
047,Gutekunst,5,0,9,PERSON,"People, including fictional"
047,the Chartres N. Portal,5,103,125,FAC,"Buildings, airports, highways, bridges, etc."
047,Luxor,6,11,16,GPE,"Countries, cities, states"
047,sunset,6,20,26,TIME,Times smaller than a day
