page,text,p,start,end,type,description,wikidata,viaf,loc,notes
253,"Thursday, August 17, 1922",1,0,25,DATE,Absolute or relative dates or periods,,,,
253,Ray,3,13,16,PERSON,"People, including fictional",,,,
253,Hook,4,14,18,PERSON,"People, including fictional",,,,
253,Alys,4,24,28,PERSON,"People, including fictional",,,,
253,The Bed-time Story-books”,5,1,26,WORK_OF_ART,"Titles of books, songs, etc.",,,,
253,Thornton Burgess,5,30,46,PERSON,"People, including fictional",,,,
253,up to 10,5,74,82,DATE,Absolute or relative dates or periods,,,,
253,The Adventures of Buster Bear,5,100,129,WORK_OF_ART,"Titles of books, songs, etc.",,,,
253,Old Man Coyote,5,139,153,WORK_OF_ART,"Titles of books, songs, etc.",,,,
253,Nicky,6,0,5,PERSON,"People, including fictional",,,,
253,B.B.,6,96,100,PERSON,"People, including fictional",,,,
